Month,Average Temperature
January,32.725308035714285
February,32.115089285714284
March,30.419683035714286
April,27.570513392857144
May,23.970616071428573
June,21.031861607142854
July,20.364401785714286
August,21.80559375
September,24.906111607142854
October,27.57675892857143
November,29.817562499999998
December,31.47085714285715
